Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.706	7036	1.0	24.904	0.354%	3.0	0.36%	1e-05	1.0
SP.Syn.Abst.707	6149	1.0	23.322	0.379%	2.798	0.387%	1e-05	1.0
SP.Syn.Abst.708	5186	1.0	23.931	0.461%	2.798	0.457%	3e-05	1.0
SP.Syn.Abst.709	18834	1.0	24.502	0.13%	2.957	0.133%	0.0	1.0
SP.Syn.Abst.710	11049	1.0	24.469	0.221%	2.89	0.226%	1e-05	1.0
SP.Syn.Abst.711	9450	1.0	24.355	0.258%	2.795	0.255%	1e-05	1.0
SP.Syn.Abst.712	8799	1.0	23.596	0.268%	2.893	0.282%	1e-05	1.0
SP.Syn.Abst.713	9941	1.0	23.962	0.241%	2.867	0.249%	1e-05	1.0
SP.Syn.Abst.714	4941	1.0	21.886	0.443%	2.633	0.451%	2e-05	1.0
SP.Syn.Abst.715	10938	1.0	23.425	0.214%	2.784	0.217%	1e-05	1.0
SP.Syn.Abst.716	11709	1.0	24.525	0.209%	2.866	0.209%	1e-05	1.0
SP.Syn.Abst.717	13058	1.0	22.213	0.17%	2.701	0.179%	0.0	1.0
SP.Syn.Abst.718	14430	1.0	22.181	0.154%	2.626	0.157%	0.0	1.0
SP.Syn.Abst.719	5673	1.0	23.649	0.417%	2.797	0.423%	3e-05	1.0
SP.Syn.Abst.720	7729	1.0	22.352	0.289%	2.728	0.3%	1e-05	1.0
SP.Syn.Abst.721	8368	1.0	23.654	0.283%	2.832	0.288%	1e-05	1.0
SP.Syn.Abst.722	8683	1.0	22.241	0.256%	2.662	0.262%	1e-05	1.0
SP.Syn.Abst.723	11818	1.0	23.059	0.195%	2.741	0.199%	0.0	1.0
SP.Syn.Abst.724	11519	1.0	22.964	0.199%	2.782	0.208%	1e-05	1.0
SP.Syn.Abst.725	11869	1.0	26.097	0.22%	3.037	0.219%	1e-05	1.0
SP.Syn.Abst.726	7807	1.0	21.966	0.281%	2.66	0.294%	1e-05	1.0
SP.Syn.Abst.727	5997	1.0	22.901	0.382%	2.684	0.384%	2e-05	1.0
SP.Syn.Abst.728	10091	1.0	24.002	0.238%	2.778	0.236%	1e-05	1.0
SP.Syn.Abst.729	25711	1.0	29.243	0.114%	3.651	0.122%	0.0	1.0
SP.Syn.Abst.730	5536	1.0	25.069	0.453%	2.939	0.454%	2e-05	1.0
SP.Syn.Abst.731	8411	1.0	25.413	0.302%	2.951	0.296%	1e-05	1.0
SP.Syn.Abst.732	6581	1.0	25.012	0.38%	2.946	0.384%	2e-05	1.0
SP.Syn.Abst.733	5779	1.0	23.195	0.401%	2.709	0.401%	2e-05	1.0
SP.Syn.Abst.734	9982	1.0	23.57	0.236%	2.816	0.234%	1e-05	1.0
SP.Syn.Abst.735	4552	1.0	23.329	0.513%	2.734	0.51%	3e-05	1.0
SP.Syn.Abst.736	13836	1.0	24.213	0.175%	2.904	0.181%	0.0	1.0
SP.Syn.Abst.737	9794	1.0	22.414	0.229%	2.629	0.231%	1e-05	1.0
SP.Syn.Abst.738	7354	1.0	23.762	0.323%	2.839	0.333%	1e-05	1.0
SP.Syn.Abst.739	14807	1.0	25.359	0.171%	3.036	0.177%	0.0	1.0
SP.Syn.Abst.740	10816	1.0	21.701	0.201%	2.614	0.205%	0.0	1.0
SP.Syn.Abst.741	6369	1.0	25.175	0.395%	2.932	0.394%	2e-05	1.0
SP.Syn.Abst.742	7296	1.0	24.249	0.332%	2.928	0.347%	1e-05	1.0
SP.Syn.Abst.743	11430	1.0	24.548	0.215%	2.889	0.218%	0.0	1.0
SP.Syn.Abst.744	15523	1.0	24.293	0.156%	2.929	0.161%	0.0	1.0
SP.Syn.Abst.745	10628	1.0	22.151	0.208%	2.688	0.216%	0.0	1.0
SP.Syn.Abst.746	14774	1.0	23.404	0.158%	2.785	0.159%	0.0	1.0
SP.Syn.Abst.747	8635	1.0	22.608	0.262%	2.769	0.273%	1e-05	1.0
SP.Syn.Abst.748	8854	1.0	21.728	0.245%	2.641	0.255%	1e-05	1.0
SP.Syn.Abst.749	4412	1.0	24.585	0.557%	2.928	0.573%	4e-05	1.0
SP.Syn.Abst.750	7843	1.0	23.984	0.306%	2.935	0.317%	1e-05	1.0
SP.Syn.Abst.751	7235	1.0	22.668	0.313%	2.726	0.325%	1e-05	1.0
SP.Syn.Abst.752	5502	1.0	24.338	0.442%	2.818	0.44%	2e-05	1.0
SP.Syn.Abst.753	7049	1.0	21.439	0.304%	2.552	0.312%	1e-05	1.0
SP.Syn.Abst.754	15754	1.0	24.715	0.157%	3.001	0.164%	0.0	1.0
SP.Syn.Abst.755	10871	1.0	26.635	0.245%	3.111	0.242%	1e-05	1.0
SP.Syn.Abst.756	10824	1.0	22.953	0.212%	2.744	0.218%	0.0	1.0
SP.Syn.Abst.757	4938	1.0	22.13	0.448%	2.68	0.468%	3e-05	1.0
SP.Syn.Abst.758	7273	1.0	21.767	0.299%	2.609	0.303%	1e-05	1.0
SP.Syn.Abst.759	11756	1.0	23.761	0.202%	2.82	0.207%	0.0	1.0
SP.Syn.Abst.760	2776	1.0	21.705	0.782%	2.569	0.765%	8e-05	1.0
SP.Syn.Abst.761	14949	1.0	24.317	0.163%	2.928	0.169%	0.0	1.0
SP.Syn.Abst.762	16225	1.0	22.625	0.139%	2.851	0.151%	0.0	1.0
SP.Syn.Abst.763	12836	1.0	23.22	0.181%	2.727	0.183%	0.0	1.0
SP.Syn.Abst.764	2927	1.0	25.617	0.875%	3.008	0.839%	0.0001	1.0
